event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR41470,18-Aug-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Hamas Movement,PIJ: Palestinian Islamic Jihad,Political militia,Civilians (Israel),,Civilians,Political militia-Civilians,Civilian targeting,376,Middle East,Israel,Tel Aviv,Tel Aviv,Tel Aviv,Tel Aviv,32.0809,34.7806,1,Haaretz; Liveuamap; Times of Israel; Ynet,Local partner-New media,"On 18 August 2024, a Palestinian man carried out an attempted suicide bombing in Tel Aviv city, killing himself and injuring one Israeli civilian when a bomb in his backpack exploded. The assailant was a Palestinian from the West Bank. Hamas and PIJ claimed joint responsibility for the attack.",1,,1724714154
YEM90911,16-Aug-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,AQAP: Al Qaeda in the Arabian Peninsula,,Rebel group,Military Forces of Yemen (2022-) Presidential Leadership Council - STC Support and Reinforcement Brigades,,State forces,State forces-Rebel group,,887,Middle East,Yemen,Abyan,Mudiyah,,Umm Surrah Junction,13.9381,46.2071,2,Al Masdar; Al Mashhad Al Yemeni - Pro-IRG; An Nusra Media; Twitter; Yemeni Army - IRG,Other-New media,"On 16 August 2024, an AQAP suicide car bomber driving a bomb-laden vehicle (VBIED) rammed the barracks of the 3rd Brigade of the STC Support and Reinforcement Brigades in Al Furayd area near the Umm Surrah Junction (Mudiyah, Abyan), killing 16 (19 according to some sources) STC soldiers and injuring dozens. AQAP media claimed that the attack left 50 total casualties. At least 17 fatalities, including the suicide bomber, were coded.",17,,1724706551
SYR129705,27-Jun-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State in Iraq and the Levant (ISIL),,Rebel group,Military Forces of Syria (2000-),,State forces,State forces-Rebel group,,760,Middle East,Syria,Ar Raqqa,Ath Thawrah,Mansura,Al-Rasafah,35.6288,38.7581,2,Syria TV,National,"On 27 June 2024, two IS members came out from one of the tunnels in Al-Rasafah badia in Ar Raqqa countryside, and conducted a suicide attack detonating themselves with explosive belts targeting regime forces during a combing operation, killing themselves, and two regime soldiers, and injuring five others. 4 fatalities.",4,,1730157022
SYR129528,16-Jun-24,2024,2,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State in Iraq and the Levant (ISIL),,Rebel group,QSD: Syrian Democratic Forces,,Rebel group,Rebel group-Rebel group,,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Basira,al Attal Roundabout,35.1431,40.4546,2,Twitter,New media,"Around 16 June 2024 (week of), an IS fighter conducted a suicide mission by driving his vehicle towards a QSD-affiliated training session in Al Attalla village in rural Deir ez Zor coded to al Attal Roundabout and detonated his vehicle after passing the site's gate, killing and injuring approximately fifteen individuals. 7 fatalities coded.",7,,1730157022
SYR129272,3-Jun-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State in Iraq and the Levant (ISIL),,Rebel group,QSD: Syrian Democratic Forces,,Rebel group,Rebel group-Rebel group,,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Khasham,Al-Asbah farms,35.4157,40.2836,2,Al Naba; Facebook; SHAAM; SOHR; Twitter,Other-New media,"On 3 June 2024, IS members conducted a suicide car bomb attack on a base belonging to QSD 10th Corps in the vicinity of Al-Izbah village in the countryside of Deir ez Zor, wounding one QSD member and killing the assailant. There are conflicting reports about the location, with some sources reporting the incident in the village Al Atila and others in Al-Izbah. IS claimed killing and wounding more than 15 QSD members. Fatalities coded to 1.",1,,1731445620
SYR127830,10-May-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State in Iraq and the Levant (ISIL),,Rebel group,QSD: Syrian Democratic Forces,,Rebel group,Rebel group-Rebel group,,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Basira,Shiheil,35.092,40.4543,1,Al Naba; Facebook; SHAAM; SOHR; SY24; Twitter; Undisclosed Source,Local partner-Other,"On 10 May 2024, IS members carried out a suicide car bomb attack targeting a QSD military post in the town of Shiheil in the countryside of Deir ez Zor, killing three QSD members and wounding others. On 20 May 2024, another member succumbed to his injuries, bringing the total fatalities to four. IS claimed responsibility for killing and wounding over 23 members and destroying several vehicles. 4 fatalities.",4,,1731445620
SYR126471,4-Apr-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Unidentified Armed Group (Syria),,Political militia,HTS: Hayat Tahrir al Sham,Civilians (Syria),Rebel group,Rebel group-Political militia,,760,Middle East,Syria,Idleb,Harim,Dana,Sarmada,36.1866,36.7239,1,Facebook; SHAAM; SOHR; Twitter,Other-New media,"On 4 April 2024, a suicide bomber wearing an explosive belt detonated him self in a drawing room in Sarmada town in Idleb countryside, killing a HTS leader (Abo Maria Al Qahtani) who was recently released from HTS prison after the recent protests against HTS and his escort, and injuring four civilians. 3 fatalities including the bomber.",3,,1720477758
SYR129903,3-Apr-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Unidentified Armed Group (Syria),,Political militia,,,,Political militia only,,760,Middle East,Syria,Damascus,Damascus,Damascus,Damascus,33.5172,36.2767,1,SNHR,Local partner-Other,"On 3 April 2024, a sixteen-year-old child detonated himself with a hand grenade/explosives built in Al Shaalan area in Damascus city. It is not known if he was sent by an armed group or not. 1 fatality",1,,1720482006
SYR125702,19-Mar-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Unidentified Armed Group (Syria),,Political militia,National Police Forces,,Rebel group,Rebel group-Political militia,,760,Middle East,Syria,Aleppo,Al Bab,Ar Raee,Ar-Ra'ee,36.6125,37.4464,1,SHAAM,National,"On 19 March 2024, unidentified armed group conducted a suicide bomb attack using a vehicle near a checkpoint for the national police force in the town of Ar-Ra'ee in the countryside of Aleppo, killing the driver of the vehicle and wounding two police members. 1 fatality.",1,,1720477760
IRN25916,3-Jan-24,2024,1,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State Khorasan Province (ISKP),,Rebel group,Civilians (Iran),Civilians (Afghanistan); Shiite Muslim Group (Iran); Shiite Muslim Group (Afghanistan),Civilians,Rebel group-Civilians,Civilian targeting,364,Middle East,Iran,Kerman,Kerman,Central,Kerman,30.2832,57.0788,1,BBC News; Deutsche Welle; FARS News Agency (Iran); Iran International; Islamic Republic News Agency; Radio Zamaneh,National-International,"On 3 January 2024, two suicide bombers blew themselves in the crowds of Shiite mourners at the fifth-anniversary ceremony and commemoration of Qassem Soleimani's death near the Garden of Martyrs cemetery in Kerman (Kerman). The Islamic State of Khorasan claimed responsibility for the attack after 24 hours, claiming it targeted civilians for being 'polytheists'. The first bomb was detonated around 15:00 local time around the Saheb al-Zaman mosque outside security checkpoints, and the second bomb exploded about 15 minutes later, about 1km away from the cemetery, targeting people who were running from the first blast. At least 93 civilians were killed, and 284 individuals were injured, including 13 Afghan citizens and 30 children. The suicide bombers were identified as the IS militants from Tajikistan.",93,,1730158793
SYR115160,7-Jul-23,2023,1,Political violence,Explosions/Remote violence,Suicide bomb,Unidentified Armed Group (Syria),,Political militia,Military Forces of Syria (2000-) Military Intelligence,,State forces,State forces-Political militia,,760,Middle East,Syria,Dara,Dara,Dara,Dar'a - Al-Sabeel,32.6343,36.1029,1,Facebook; SHAAM; SOHR,Other-New media,"On 7 July 2023, a young man in his thirties detonated himself with a grenade after he was surrounded by regime Military Intelligence members in Dar'a - Al-Sabeel city trying to detain him. 1 fatality.",1,,1720479012
SYR110993,23-Feb-23,2023,1,Political violence,Explosions/Remote violence,Suicide bomb,Unidentified Armed Group (Syria),,Political militia,Police Forces of Syria (2000-),,State forces,State forces-Political militia,,760,Middle East,Syria,Hama,As Suqaylabiyah,As Suqaylabiyah,Ein al Kurum,35.3532,36.2794,2,SOHR,Other,"On 23 February 2023, a young man detonated himself while a regime police patrol members where chasing him in Saqiyet Najim town in Ein al Kurum district in Hama countryside, killing himself, and injuring others including a number of the patrol members. 1 fatality.",1,,1720478922
SYR107314,28-Oct-22,2022,1,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State in Iraq and the Levant (ISIL),,Rebel group,Unidentified Armed Group (Syria),Former Opposition Rebels (Syria),Political militia,Rebel group-Political militia,,760,Middle East,Syria,Dara,Dara,Dara,Dar'a,32.6241,36.1049,1,Facebook; GardaWorld; SHAAM; SNHR; SOHR; SY24,Local partner-Other,"On 28 October 2022, an unknown gunman believed to be an IS member conducted a suicide operation in Dar'a Al Balad in Dar'a city, and killed 3 former opposition leaders (current affiliation unknown) and injuring others. On 29/10/2022, another former opposition member succumbed to the wounds he sustained during the attack. 5 fatalities including the suicide bomber.",5,,1730157014
SAU54208,10-Aug-22,2022,1,Political violence,Explosions/Remote violence,Suicide bomb,Unidentified Armed Group (Saudi Arabia),,Political militia,Police Forces of Saudi Arabia (2015-),Civilians (Pakistan),State forces,State forces-Political militia,,682,Middle East,Saudi Arabia,Mecca,Jiddah,,Jeddah,21.5424,39.198,1,AP; Al Arabiya; Al Jazeera,National-International,"On 10 August 2022, a Saudi man blew himself up with an explosive belt to avoid his arrest in Jeddah (Jiddah, Mecca) injuring 3 security personnel and 1 Pakistani resident who were hospitalized. The man was wanted for his alleged involvement in a 2015 mosque bombing in Abha. The Saudi authorities did not disclose whether he was associated with any specific armed group.",1,,1660595319
YEM74760,9-Jul-22,2022,1,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State in Yemen (ISY),,Rebel group,Military Forces of Yemen (2017-) Houthi,,State forces,State forces-Rebel group,,887,Middle East,Yemen,Al Bayda,Al Malagim,,Afar,14.2624,45.3188,1,Twitter,New media,"On 9 July 2022, the Islamic State in Yemen claimed to have carried out a suicide bomber operation against a Houthi convoy in Afar (Al Malagim, Al Bayda) killing and injuring several Houthi fighters. Unspecified number of fatalities coded as 3 + 1 for the suicide bomber. One source claimed that the attacker accidentally detonated the bomb against a wedding convoy lightly injuring two people but this version of events could not be verified.",4,,1730758101
IRQ37042,4-Apr-22,2022,1,Political violence,Explosions/Remote violence,Suicide bomb,Islamic State in Iraq and the Levant (ISIL),,Rebel group,Military Forces of Iraq (2020-2022),,State forces,State forces-Rebel group,,368,Middle East,Iraq,Ninewa,Al Mosul,Hammam Al Alil,Qaryat Shaykh Yunus,36.2643,43.0367,2,Al Maloomah; Al Naba,National-International,"On 4 April 2022, IS militants detonated a SVEST targeting an Iraqi army checkpoint near Qaryat Shaykh Yunus south of Mosul city (Ninewa). The attack injured 2 Iraqi officers and 6 soldiers. The IS SVEST attacker was the only fatality. IS claimed that this was a remote explosion and not a suicide attack. 1 fatality.",1,,1731445502
