"country","actor1","total_fatalities"
"Iran","Islamic State Khorasan Province (ISKP)",93
"Iraq","Islamic State in Iraq and the Levant (ISIL)",3633
"Israel","Hamas Movement",2
"Jordan","Military Forces of Jordan (1999-)",8
"Lebanon","Unidentified Armed Group (Lebanon)",9
"Palestine","Unidentified Armed Group (Palestine)",2
"Saudi Arabia","Islamic State Saudi Arabia Province (ISSAP)",45
"Syria","Islamic State in Iraq and the Levant (ISIL)",758
"Turkey","TAK: Kurdistan Freedom Hawks",159
"Yemen","Islamic State in Yemen (ISY)",697
